complaint_text,category
Ang tubig namin is not suitable para sa aming plants.,Water Quality
Can I pay my large water bill in installments?,Billing
"Ang aking water meter ay nasisira na, kailangan ng kapalit.",Metering
I need a meter inspection for our new house.,Metering
We are filing a complaint about water contamination.,Water Quality
Ang aming water service ay interrupted nang walang abiso.,Operations
Ang aming meter ay hindi compatible sa bagong billing system.,Metering
There are green algae-like particles in our water supply.,Water Quality
Hindi na okay ang tubig namin para sa household cleaning.,Water Quality
I found a broken pipe sa aming street.,Operations
We need a water service advisory for tomorrow.,Operations
May computation error sa aking bill.,Billing
Hindi ko ma-understand ang reading ng aking smart meter.,Metering
Ang aming lugar ay walang tubig dahil sa construction work.,Operations
I found a cracked pipe sa kalsada.,Operations
Ang tubig namin ay nagiging brown pagkatapos ng malakas na ulan.,Water Quality
Hindi ko ma-access ang aking water meter kasi nakabaon ito.,Metering
Hindi ko ma-access ang aking water meter dahil nakabaon ito.,Metering
Ang aming digital water meter is not working.,Metering
Ang aming neighborhood ay madalas na nagtatamasa ng water interruption.,Operations
Hindi ko natanggap ang aking monthly bill.,Billing
Ang aming lugar ay madalas na walang tubig.,Operations
We need emergency water supply sa aming area.,Operations
Ang aming meter ay hindi compatible sa new billing system.,Metering
Nakita ko ang malaking water leak sa aming kalye.,Operations
I paid on time pero may late fee pa rin sa aking bill.,Billing
Ang aming meter ay nasira ng hayop.,Metering
Hindi malinis ang tubig na aming ginagamit sa pagluluto.,Water Quality
Kailangan namin ng emergency water supply.,Operations
Hindi ko maintindihan kung bakit tumaas ang aking meter reading.,Metering
Bakit ganon kamahal ang bill ko this month?,Billing
Bakit nagbago ang reading ng aming meter without notice?,Metering
Hindi tama ang computation ng aking senior citizen discount.,Billing
Bakit may disconnection notice ako kahit paid naman ang aking bill?,Billing
I received a bill para sa address na hindi ko address.,Billing
Bakit may disconnection notice kahit bayad ang aking account?,Billing
The water in our area becomes cloudy after rainfall.,Water Quality
Ang aming water service is unreliable.,Operations
My water meter is broken and not recording usage accurately.,Metering
I cannot access my online billing account.,Billing
Ang aking meter ay nabasag ng sasakyan.,Metering
Hindi malinaw ang tubig na aming ginagamit sa paghuhugas.,Water Quality
Bakit may additional charge sa aking bill ngayong buwan?,Billing
Ang computation ng aking bill ay may error.,Billing
Ang meter namin ay nasira ng bata sa kalsada.,Metering
Ang singil ko ngayong buwan ay hindi makatotohanan.,Billing
May burst pipe sa aming kalsada.,Operations
May duplicate charge sa aking account.,Billing
Ang tubig namin ay may amoy na parang itlog.,Water Quality
Ang aming meter ay nasira ng masamang panahon.,Metering
There is a chemical smell in our drinking water.,Water Quality
I did not receive my monthly water bill.,Billing
Ang aming meter ay nasakop ng tubig-baha.,Metering
"My payment was not reflected sa aking account, nagbayad na ako.",Billing
Bakit mababa ang water pressure every morning?,Operations
My water bill is significantly higher than usual this month.,Billing
Ang tubig naming pangkain ay may bad taste.,Water Quality
Bakit may reconnection fee sa aking bill?,Billing
Ang balance ng aking account is not correct.,Billing
Our water is unsafe for infants and children.,Water Quality
Hindi namin matanggap ang malinis na tubig sa aming lugar.,Water Quality
Bakit mababa ang water pressure tuwing umaga?,Operations
Ang tubig namin ay may masamang amoy na galing sa dagat.,Water Quality
The meter was damaged by a vehicle and needs replacement.,Metering
"Walang installed na meter sa aming lugar, paano kayo nagbibigay ng bill?",Metering
Our tap water has a strong sulfur odor.,Water Quality
Ang water sa aming lugar is not safe to drink.,Water Quality
Ang meter reading sa aking bill ay hindi tama.,Billing
Ang water pressure sa aming bahay ay napakababa.,Operations
Hindi tama ang meter reading na nakalista sa aking bill.,Metering
Bakit ang laki ng aking bill kahit hindi kami gumagamit ng maraming tubig?,Billing
Ang tubig sa aming area is cloudy at hindi transparent.,Water Quality
Our water has an excessive chlorine smell.,Water Quality
I need a refund because na-overpay ako.,Billing
Kailangan ng meter box replacement sa aming property.,Metering
Ang aming meter ay biglang bumaba ng reading.,Metering
Hindi safe ang tubig namin para sa mga babies.,Water Quality
Ang aming lugar ay nawalan ng tubig dahil sa strong typhoon.,Operations
Maputik ang tubig na lumalabas sa aming gripo.,Water Quality
Bakit may finance charge sa aking water account?,Billing
Hindi ko natanggap ang resibo ng aking bayad.,Billing
May broken water main sa aming lugar.,Operations
Ang meter namin ay nagpapakita ng maling reading.,Metering
Gusto ko ng tamang serbisyo para sa aking water meter.,Metering
Ang aming water reserve is running low na.,Operations
Bakit ganon kataas ang reading ng aking meter?,Metering
Ang aming meter ay nasalanta ng bagyo.,Metering
Mapula ang tubig na lumalabas sa aming gripo.,Water Quality
May scheduled maintenance ba today?,Operations
Ang aming lugar ay walang tubig after ng earthquake.,Operations
Hindi ko nakilala ang billing period sa aking statement.,Billing
Ang kulay ng tubig namin is yellowish at hindi malinis.,Water Quality
Ang bill ko ay hindi tumutugma sa aking consumption.,Billing
May nakikita akong particles sa aming drinking water.,Water Quality
May bayad na hindi ko kilala sa aking statement.,Billing
Ang tubig namin ay may unusual smell sa morning.,Water Quality
Bakit hindi accepted ang aking online payment?,Billing
The meter reading on my bill appears to be incorrect.,Billing
